category,zip code
LARCENY/THEFT,94112
VEHICLE THEFT,94141
BURGLARY,94141
ASSAULT,94104
OTHER OFFENSES,94115
DRUNKENNESS,94111
DRUG/NARCOTIC,94102
NON-CRIMINAL,94104
LARCENY/THEFT,94133
OTHER OFFENSES,94121
SUSPICIOUS OCC,94124
NON-CRIMINAL,Not in San Francisco
OTHER OFFENSES,94133
ASSAULT,94108
OTHER OFFENSES,94188
WEAPON LAWS,94108
BURGLARY,94101
NON-CRIMINAL,94133
OTHER OFFENSES,94132
TRESPASS,94101
VANDALISM,94115
ASSAULT,94108
DRIVING UNDER THE INFLUENCE,94108
ASSAULT,94141
MISSING PERSON,94158
LARCENY/THEFT,Not in San Francisco
OTHER OFFENSES,94101
LARCENY/THEFT,94104
LARCENY/THEFT,94102
DRUG/NARCOTIC,94108
OTHER OFFENSES,94102
OTHER OFFENSES,94112
ASSAULT,94104
DRUG/NARCOTIC,94102
VEHICLE THEFT,94141
OTHER OFFENSES,94108
NON-CRIMINAL,94117
BURGLARY,94108
WEAPON LAWS,94116
NON-CRIMINAL,94104
ASSAULT,94124
TRESPASS,94104
LARCENY/THEFT,94131
OTHER OFFENSES,94141
LARCENY/THEFT,94102
VANDALISM,94101
FRAUD,94134
LARCENY/THEFT,94133
ASSAULT,94112
LARCENY/THEFT,94101
ASSAULT,94108
NON-CRIMINAL,94104
LARCENY/THEFT,94102
ROBBERY,94108
OTHER OFFENSES,94102
OTHER OFFENSES,94102
NON-CRIMINAL,94114
VEHICLE THEFT,94114
VANDALISM,94112
VEHICLE THEFT,94131
LARCENY/THEFT,94158
WARRANTS,94109
STOLEN PROPERTY,94115
OTHER OFFENSES,94108
NON-CRIMINAL,94101
BURGLARY,94102
VANDALISM,94109
MISSING PERSON,Not in San Francisco
OTHER OFFENSES,94112
LIQUOR LAWS,94141
EMBEZZLEMENT,94104
WARRANTS,94109
SUSPICIOUS OCC,94114
ASSAULT,94107
OTHER OFFENSES,94132
NON-CRIMINAL,94112
SUSPICIOUS OCC,94101
SUSPICIOUS OCC,94111
WARRANTS,94141
OTHER OFFENSES,94132
FRAUD,94110
NON-CRIMINAL,94133
LARCENY/THEFT,94110
MISSING PERSON,94141
LARCENY/THEFT,94104
DRUG/NARCOTIC,94188
SUSPICIOUS OCC,94123
SUSPICIOUS OCC,94122
NON-CRIMINAL,94101
VANDALISM,94122
DRUG/NARCOTIC,94102
NON-CRIMINAL,94123
ASSAULT,94143
